year,quarter,city,Index,avg_price_sqm,med_price_sqm,p75_price_sqm,p25_price_sqm,date
2012,1,Kiel,91.43574523925781,6.53,6.47,7.21,5.5,2012-01-01
2012,1,Köln,91.5822525024414,8.94,8.72,10.0,7.61,2012-01-01
2012,1,Leipzig,87.06379699707031,5.19,5.01,5.73,4.51,2012-01-01
2012,1,Lübeck,90.55204010009766,6.69,6.57,7.67,5.51,2012-01-01
2012,1,Mönchengladbach,95.75117492675781,5.63,5.5,6.09,5.12,2012-01-01
2012,1,Mannheim,90.39053344726562,7.5,7.18,8.13,6.5,2012-01-01
2012,1,Kreis Mettmann,94.3050537109375,6.83,6.78,7.61,5.96,2012-01-01
2012,1,München,86.65836334228516,12.75,12.5,14.01,11.15,2012-01-01
2012,1,Münster,93.05650329589844,8.2,8.09,9.290000000000001,6.96,2012-01-01
2012,1,Nürnberg,88.11351013183594,7.36,7.23,8.06,6.47,2012-01-01
2012,1,Potsdam,90.96935272216797,7.62,8.0,8.76,6.47,2012-01-01
2012,1,Rhein-Erft-Kreis,94.09024047851562,7.140000000000001,7.12,8.0,6.19,2012-01-01
2012,1,Stuttgart,89.65504455566406,9.5,9.21,10.56,8.2,2012-01-01
2012,1,Wiesbaden,91.25332641601562,8.46,8.33,9.33,7.47,2012-01-01
2012,1,Wuppertal,98.04560852050781,5.66,5.51,6.1000000000000005,5.04,2012-01-01
2012,1,Aachen,90.18441009521484,7.36,7.08,8.48,6.22,2012-01-01
2012,1,Augsburg,85.02931213378906,7.09,7.0,7.9,6.38,2012-01-01
2012,1,Berlin,83.88634490966797,7.22,6.96,8.2,5.95,2012-01-01
2012,1,Bielefeld,90.58699798583984,5.79,5.57,6.41,5.11,2012-01-01
2012,1,Bocholt,90.76268768310547,6.34,6.4,7.17,5.66,2012-01-01
2012,1,Bochum,96.81450653076172,5.86,5.68,6.42,5.2,2012-01-01
2012,1,Bonn,94.50425720214844,8.44,8.23,9.38,7.3500000000000005,2012-01-01
2012,1,Braunschweig,83.58910369873047,6.08,5.8500000000000005,6.75,5.29,2012-01-01
2012,1,Bremen,90.7635498046875,6.79,6.61,7.76,5.47,2012-01-01
2012,1,Chemnitz,94.9849624633789,4.82,4.88,5.3,4.36,2012-01-01
2012,1,Dortmund,91.73013305664062,5.68,5.47,6.25,4.94,2012-01-01
2012,1,Dresden,87.73077392578125,6.15,6.0200000000000005,6.66,5.54,2012-01-01
2012,1,Duisburg,95.53964233398438,5.29,5.15,5.66,4.65,2012-01-01
2012,1,Düsseldorf,93.7632827758789,8.76,8.44,9.69,7.57,2012-01-01
2012,1,Erfurt,92.9240493774414,6.26,6.0200000000000005,6.88,5.49,2012-01-01
2012,1,Essen,93.77828979492188,5.93,5.71,6.54,5.08,2012-01-01
2012,1,Frankfurt am Main,92.061767578125,10.84,10.44,12.36,9.0,2012-01-01
2012,1,Greix,90.10919952392578,8.68,8.46,10.09,7.08,2012-01-01
2012,1,Gelsenkirchen,93.77227783203125,4.73,4.71,5.0200000000000005,4.37,2012-01-01
2012,1,Hamburg,95.0574722290039,9.98,9.620000000000001,11.55,8.17,2012-01-01
2012,1,Hamm,92.66249084472656,5.13,5.0,5.41,4.5600000000000005,2012-01-01
2012,1,Hannover,86.60748291015625,6.5600000000000005,6.4,7.03,5.84,2012-01-01
2012,1,Karlsruhe,91.5826644897461,8.18,7.99,9.06,7.2,2012-01-01
2012,1,Kiel,89.76769256591797,6.41,6.2,7.2,5.37,2012-01-01
2012,1,Köln,90.59252166748047,8.9,8.700000000000001,10.11,7.5,2012-01-01
2012,1,Leipzig,88.26598358154297,5.24,5.11,5.79,4.57,2012-01-01
2012,1,Lübeck,90.06670379638672,6.47,6.36,7.2,5.5,2012-01-01
2012,1,Mönchengladbach,95.30965423583984,5.65,5.5600000000000005,6.140000000000001,5.13,2012-01-01
2012,1,Mannheim,88.82125854492188,7.4,7.21,8.0,6.5,2012-01-01
2012,1,Kreis Mettmann,94.6788101196289,6.8100000000000005,6.8,7.640000000000001,6.0,2012-01-01
2012,1,München,86.9547348022461,12.76,12.41,14.0,11.16,2012-01-01
2012,1,Münster,92.49542999267578,8.25,8.06,9.4,6.86,2012-01-01
2012,1,Nürnberg,88.62528228759766,7.42,7.28,8.17,6.54,2012-01-01
2012,1,Potsdam,92.06513977050781,7.8500000000000005,7.99,9.0,6.66,2012-01-01
