city,year,affordability_ratio
Berlin,1984,0.29497159061661915
Berlin,1985,0.2869963482442836
Berlin,1986,0.2744033691329409
Berlin,1987,0.25333094968331576
Berlin,1988,0.25712562298043506
Berlin,1989,0.26672175675176346
Berlin,1990,0.34329589110389125
Berlin,1991,0.4056153252252499
Berlin,1992,0.4210771851108552
Berlin,1993,0.38042253403963266
Berlin,1994,0.3711818289522071
Berlin,1995,0.34550777781931946
Berlin,1996,0.348864028290611
Berlin,1997,0.2967496251630439
Berlin,1998,0.2989915546577296
Berlin,1999,0.2800244519198009
Berlin,2000,0.3062163198215071
Berlin,2001,0.2807467779398934
Berlin,2002,0.28860966097501595
Berlin,2003,0.2763000156024122
Berlin,2004,0.2553631493831532
Berlin,2005,0.2427368915677263
Berlin,2006,0.24734234260321075
Berlin,2007,0.26339475925951117
Berlin,2008,0.27524584383836526
Berlin,2009,0.2701495545185579
Berlin,2010,0.28284725401572847
Berlin,2011,0.30207881505718026
Berlin,2012,0.29367868018300974
Berlin,2013,0.30214906850616013
Berlin,2014,0.30401529683907014
Berlin,2015,0.324461992681571
Berlin,2016,0.30422778025905656
Berlin,2017,0.31113238001825194
Berlin,2018,0.3400719447373762
Berlin,2019,0.33127146566583987
Berlin,2020,0.3165512631828248
Berlin,2021,0.34808135293993914
Berlin,2022,0.3941212600682157
Berlin,2023,0.41653875066263973
Berlin,2024,0.3881690227451755
Berlin,1984,0.36871448827077397
Berlin,1985,0.35874543530535447
Berlin,1986,0.3430042114161762
Berlin,1987,0.31666368710414466
Berlin,1988,0.3214070287255438
Berlin,1989,0.3334021959397043
Berlin,1990,0.429119863879864
Berlin,1991,0.5070191565315624
Berlin,1992,0.526346481388569
Berlin,1993,0.47552816754954086
Berlin,1994,0.46397728619025885
Berlin,1995,0.4318847222741493
Berlin,1996,0.4360800353632637
Berlin,1997,0.37093703145380486
Berlin,1998,0.3737394433221619
Berlin,1999,0.3500305648997511
Berlin,2000,0.3827703997768839
Berlin,2001,0.3509334724248667
Berlin,2002,0.36076207621877
Berlin,2003,0.3453750195030153
Berlin,2004,0.31920393672894143
Berlin,2005,0.30342111445965786
Berlin,2006,0.3091779282540134
Berlin,2007,0.329243449074389
Berlin,2008,0.3440573047979566
Berlin,2009,0.3376869431481973
Berlin,2010,0.3535590675196606
Berlin,2011,0.37759851882147527
Berlin,2012,0.3670983502287622
Berlin,2013,0.3776863356327002
Berlin,2014,0.38001912104883767
Berlin,2015,0.40557749085196376
Berlin,2016,0.3802847253238206
Berlin,2017,0.3889154750228149
Berlin,2018,0.42508993092172026
Berlin,2019,0.41408933208229987
Berlin,2020,0.39568907897853106
Berlin,2021,0.435101691174924
Berlin,2022,0.49265157508526963
Berlin,2023,0.5206734383282997
Berlin,2024,0.48521127843146933
Berlin,1984,0.2089906693419498
Berlin,1985,0.20334012096854726
Berlin,1986,0.19441785449540303
Berlin,1987,0.1794878097537201
Berlin,1988,0.18217637820412974
Berlin,1989,0.18897534625312884
Berlin,1990,0.24322897643859087
Berlin,1991,0.28738299216196306
Berlin,1992,0.2983378927339439
Berlin,1993,0.26416976489082505
Berlin,1994,0.2525193517434893
Berlin,1995,0.23018142899780117
Berlin,1996,0.23702885976528262
Berlin,1997,0.2055433275890602
Berlin,1998,0.21104841529993196
Berlin,1999,0.20136165529934857
Berlin,2000,0.22343403451113983
Berlin,2001,0.20781874833164451
Berlin,2002,0.21669112158478032
Berlin,2003,0.2081793663077888
Berlin,2004,0.19307950277644254
Berlin,2005,0.18417454078520923
Berlin,2006,0.1883227859385349
Berlin,2007,0.2053727893137696
Berlin,2008,0.2196584131322183
Berlin,2009,0.220543092554034
Berlin,2010,0.22921423612391675
Berlin,2011,0.2429889691022367
Berlin,2012,0.23447215526010812
Berlin,2013,0.2385924814595298
Berlin,2014,0.24312750991380486
Berlin,2015,0.25918151241652004
Berlin,2016,0.2513303172662492
Berlin,2017,0.2537314925150522
Berlin,2018,0.27849113276728404
Berlin,2019,0.2793924661272371
Berlin,2020,0.26494114341839925
Berlin,2021,0.2945083601400204
